,uid,logf0_rmse_recon,logf0_corr_recon,logf0_rmse_gt,logf0_corr_gt
0,LJ047-0179,0.26451087450529065,0.7464833523484652,0.3005215976617213,0.5878685917868437
1,LJ028-0176,0.23978670402815944,0.7621821214695474,0.22998298176598772,0.7114567107237242
2,LJ032-0230,0.18964605505570112,0.7589413755655692,0.37849947579823984,0.5987057782113948
3,LJ016-0174,0.08048116400418083,0.9141123611935034,0.08934269352641566,0.9031348750784448
4,LJ016-0410,0.3132398225073107,0.5155766261843016,0.32246023322251943,0.5855843728661396
5,LJ033-0003,0.06682640930368265,0.9424739995277566,0.08318610120781396,0.931329146585016
6,LJ009-0293,0.20431175774148305,0.8143287425142658,0.21652197809902776,0.7820377239368044
7,LJ032-0087,0.2105459737241296,0.5365282528489483,0.2498933349266908,0.4281224893062604
8,LJ033-0012,0.11637611694891238,0.8237074291582792,0.08955456390739999,0.8969202831678136
9,LJ018-0074,0.2669171763060764,0.6031965694093304,0.23077178466158835,0.6973532290259105
10,LJ017-0022,0.18557605164148963,0.7282675190856678,0.2498896488730992,0.4876069662906819
11,LJ009-0278,0.21153922495828292,0.6470126002491083,0.22748120076942596,0.5732696047778971
12,LJ031-0140,0.12281396091641686,0.8349924004133662,0.11210814696507465,0.7386745221923913
13,LJ014-0028,0.1746690387192746,0.7550577198665088,0.17308830006978349,0.767843447477328
14,LJ015-0079,0.23851604951087027,0.8519027340374987,0.3338458132638681,0.7386067190988298
15,LJ006-0209,0.2502980705693783,0.5574723208894689,0.20282190699814817,0.6667937870585601
16,LJ038-0130,0.1981358249767118,0.46203233371328734,0.11251814583980292,0.7738295931059318
17,LJ030-0134,0.10039301045697543,0.9185325123692993,0.22016291606653457,0.7284410497311254
18,LJ038-0186,0.23479925597666282,0.7987004785885471,0.24202601661389203,0.5950966390710198
19,LJ010-0047,0.16183659272463252,0.8109624410666294,0.18186997469731972,0.7077054558197196
20,LJ037-0151,0.15635891801850693,0.8641049227318232,0.18518763638288188,0.8325388551586325
21,LJ017-0143,0.17831839429451085,0.7708306479362699,0.15799581327920975,0.7713389843867411
22,LJ048-0118,0.2929729183514853,0.7292025474360948,0.3392761689624733,0.6861907648469323
23,LJ001-0098,0.22613953132172,0.8285564770443451,0.2841480507830397,0.6829317462679038
24,LJ016-0029,0.18116355413097415,0.8111418109437312,0.16939321944415306,0.8477190409237425
25,LJ044-0019,0.26662080354109574,0.8037973059068639,0.31189452671064555,0.7576037582808217
26,LJ041-0031,0.2388317485703684,0.7729816474907818,0.24219163602663513,0.6772543996969632
27,LJ012-0228,0.2944674789511864,0.5730884290650465,0.22425820451238623,0.654330504522426
28,LJ033-0214,0.2613261067027837,0.3961279030342493,0.2789904201020814,0.3265275497380752
29,LJ019-0112,0.19016988226713838,0.7741855013131272,0.1801138630370936,0.805163696689049
30,LJ025-0095,0.1566080156110869,0.8409928335422204,0.22393383510606926,0.6781334944912772
31,LJ019-0238,0.14155015947472313,0.8021988511165733,0.18086770654270432,0.695075489999069
32,LJ048-0165,0.10611944672231252,0.8806878581339473,0.16946865301164807,0.7785650897151684
33,LJ016-0101,0.18584961103119263,0.7782014652338265,0.15163724167109002,0.7938167439955874
34,LJ026-0136,0.2947778877655464,0.7206467512599238,0.15665268735326424,0.8947120703250081
35,LJ021-0202,0.1591094780249463,0.8385877160801521,0.1793819066647517,0.7712225354005631
36,LJ018-0298,0.18504963422876014,0.8097047986232202,0.22500473254220063,0.7881318731070606
