,uid,logf0_rmse_recon,logf0_corr_recon,logf0_rmse_gt,logf0_corr_gt
0,5400_3587_000037_000001,0.2994781729192884,0.5429766929112679,0.26423081712626106,0.6396105817313176
1,8772_270777_000011_000003,0.29181995293171187,0.48282004672367435,0.2091727583697278,0.689203008636849
2,596_139612_000023_000003,0.27596059045387483,0.4898029957482108,0.20138767908045385,0.710588517434511
3,4899_32639_000029_000000,0.3989466233168716,0.7838813491240472,0.3630716545342347,0.748848121252118
4,5304_109507_000023_000000,0.43150305040194725,0.5212104382986371,0.20222694079799028,0.8483854757100567
5,8887_281471_000024_000001,0.23474616701856263,0.656004205914117,0.21825459004416248,0.6786927446091269
6,2562_157263_000014_000000,0.1970315911595145,0.8268500200397908,0.17297095510225297,0.8673520663808685
7,954_130627_000038_000001,0.12930196218509613,0.8639351904822913,0.16287964702841015,0.9211697443817197
8,7825_258970_000028_000000,0.14263696183779306,0.6922045995151302,0.23594218175363763,0.7354228129597984
9,8684_293663_000006_000002,0.2433577919744607,0.7444527370628887,0.2263279579143435,0.6353530218049445
10,1806_2536_000010_000000,0.30149370911689705,0.5758340437243271,0.32383439488239923,0.5479675175154631
11,1025_92814_000044_000001,0.22575344479787024,0.513413297596422,0.2021728446395472,0.5301991481672466
12,708_129393_000084_000001,0.5401660094210285,0.4584665621311051,0.4406248605871356,0.5210069896906894
13,3228_4691_000000_000006,0.15227452489068988,0.2982716370915157,0.056133455189306646,0.8790735075255317
14,7495_252341_000037_000003,0.25528529275441053,0.5448888945597568,0.29064188044093614,0.49352975009195593
15,4854_24731_000028_000002,0.29643177781291,0.4771196038165203,0.28521228984403924,0.49898167706162533
16,166_122789_000037_000000,0.11696754144191833,0.8200211045645744,0.2806760179633654,0.45242432518948716
17,1961_149738_000016_000006,0.39543811621676495,0.5389060394788194,0.3776078614378481,0.2927336843122527
18,1027_125147_000030_000001,0.22437525252157184,0.46611864849345014,0.2906980186602503,0.2293495050791206
19,2971_4275_000035_000000,0.2240865600122062,0.8465863419720369,0.19039542871495194,0.871454238651587
20,1066_5330_000058_000001,0.3114548467891272,0.590090859541379,0.2263944357592588,0.5498502869721045
21,3869_700_000019_000002,0.2133341394293117,0.5581567554223893,0.1544093699529309,0.61973221303942
22,7981_112057_000023_000003,0.20395608084018263,0.6014959652914844,0.23036820285321113,0.48291264540310014
23,6544_231862_000065_000001,0.17666036641517122,0.5994755501713611,0.25345149354062396,0.7020965602013184
24,5054_1187_000089_000000,0.27378289673042183,0.7539287818157482,0.28856341961314624,0.6432976998417499
25,1472_285314_000023_000000,0.26342543247556394,0.8250612890074528,0.3674693682576981,0.6550261941037762
26,6981_70843_000102_000003,0.2293150484727492,0.5882436498030453,0.17511357670463948,0.697803766757884
27,8725_294554_000007_000018,0.2054186422332083,0.5717128346470468,0.20897763619396217,0.48092081915684076
28,4148_134149_000084_000000,0.18736878690276926,0.6937790041420276,0.17899505872277832,0.7405279502348288
29,5239_32139_000012_000004,0.229296881153743,0.5427985869197544,0.22633503132170837,0.5643045455926521
30,7286_92935_000012_000002,0.3247565460120816,0.5690826051650045,0.24934564927476874,0.6227703827086676
31,7705_101580_000025_000000,0.215746211430109,0.4725231833459621,0.15243836089117566,0.6382074236075121
32,2517_135229_000021_000006,0.2375967012904819,0.7197198694527569,0.1801633104271276,0.8087720769433794
33,666_11243_000082_000003,0.32080565881512335,0.7111336968049671,0.28082325605176095,0.7185749254498949
34,5656_44577_000068_000004,0.10466608979787549,0.8685241812067102,0.1269010136333907,0.8023321316310327
35,3274_167022_000023_000001,0.3205915847922857,0.6931664081739182,0.331437453772031,0.601819316579529
36,2573_178449_000056_000000,0.14108612885223615,0.5047121731964961,0.2500710835712445,0.35120274536523305
37,7134_67233_000007_000000,0.29552146324284573,0.2783369888030538,0.30548376360907536,0.20573384290254917
38,6359_64713_000018_000000,0.3318423547977141,0.6399338371951542,0.2963879303712924,0.708066065914227
39,6188_73024_000005_000003,0.3855406100380129,0.5498644406784449,0.250605113928754,0.5581098460847502
40,4116_13265_000025_000006,0.22295997017926927,0.770183307096593,0.26262169766822835,0.7114502665990607
41,2074_149033_000012_000002,0.28885659158212046,0.6316077762926474,0.2902519884315614,0.5846642747887751
42,6160_44912_000004_000001,0.08994876965741934,0.6532277805430996,0.15494286280684053,0.30305172691008264
43,6189_21305_000014_000000,0.35380614980426356,0.4837482005293089,0.38590630446962865,0.3917435296821069
44,2004_147173_000019_000002,0.2118781389484475,0.2527666672609822,0.2688952182048451,0.26064079494451
45,3989_182402_000019_000000,0.08624330138131357,0.7340278104326635,0.08722101525760557,0.7523243610872978
46,4744_31668_000003_000001,0.26496868903133763,0.7048026098458947,0.23402608768709426,0.678378565042008
47,2592_5341_000022_000004,0.22472879827741582,0.7986481464503212,0.1877964256372623,0.7787745604111848
48,480_127525_000006_000000,0.252674058800934,0.49414388226885725,0.30333363556665194,0.27570511039133616
49,1265_135635_000022_000000,0.21448542937454193,0.42460919743242737,0.1522862030094903,0.6320857853244902
