wer,ld,m,insertions,deletions,substitutions,inserted_words,deleted_words,substituted_words
0.5,8,16,0,0,2,[],[],"[('edmunds', 'edmonds'), ('penal', 'penals')]"
0.5,11,22,0,1,2,[],['miss'],"[('macclesfield', 'mackelsfield'), ('turner', 'misturner')]"
0.4,4,10,0,0,1,[],[],"[('deeming', 'steaming')]"
0.0,0,18,0,0,0,[],[],[]
0.8,8,10,0,0,2,[],[],"[('quigley', 'quickly'), ('are', 'were')]"
0.0,0,24,0,0,0,[],[],[]
0.0,0,7,0,0,0,[],[],[]
0.26666666666666666,4,15,0,0,1,[],[],"[('mister', 'mr')]"
0.0,0,17,0,0,0,[],[],[]
0.46153846153846156,6,13,0,2,0,[],"['at', 'shrigley']",[]
0.0,0,5,0,0,0,[],[],[]
0.0,0,9,0,0,0,[],[],[]
0.0,0,23,0,0,0,[],[],[]
0.0,0,9,0,0,0,[],[],[]
0.17391304347826086,4,23,0,0,1,[],[],"[('doctor', 'dr')]"
0.0,0,9,0,0,0,[],[],[]
0.0,0,25,0,0,0,[],[],[]
0.0,0,13,0,0,0,[],[],[]
0.0,0,28,0,0,0,[],[],[]
0.30434782608695654,7,23,0,1,1,[],['eighteen'],"[('eighteen', 'eighteeneighteen')]"
0.0,0,17,0,0,0,[],[],[]
0.28,7,25,1,0,1,['united'],[],"[('ussr', 'states')]"
0.26666666666666666,4,15,0,0,1,[],[],"[('mister', 'mr')]"
0.15789473684210525,3,19,0,1,0,[],['prs'],[]
0.0,0,14,0,0,0,[],[],[]
0.0,0,15,0,0,0,[],[],[]
0.0,0,21,0,0,0,[],[],[]
0.16666666666666666,3,18,0,1,0,[],['of'],[]
0.0,0,17,0,0,0,[],[],[]
0.0,0,11,0,0,0,[],[],[]
0.9375,15,16,1,0,3,['catalyzed'],[],"[('proteids', 'proteins'), ('carbohydrate', 'carbohydrates'), ('catabolism', 'in')]"
0.625,15,24,1,0,3,['sixty'],[],"[('kleins', 'clines'), ('sixtythree', 'three'), ('oswalds', 'osmolds')]"
0.4444444444444444,4,9,0,0,1,[],[],"[('there', 'theyre')]"
0.0,0,19,0,0,0,[],[],[]
0.0,0,14,0,0,0,[],[],[]
0.9333333333333333,14,15,2,0,2,"['clerk', 'and']",[],"[('clerkenwell', 'well'), ('the', 'to')]"
0.4,8,20,0,0,2,[],[],"[('mister', 'mr'), ('jardine', 'jardin')]"
0.0,0,14,0,0,0,[],[],[]
0.4074074074074074,11,27,1,0,2,['public'],[],"[('ker', 'care'), ('publichouse', 'house')]"
0.8,8,10,0,0,2,[],[],"[('mobbs', 'mobs'), ('minories', 'minaries')]"
0.0,0,20,0,0,0,[],[],[]
0.0,0,16,0,0,0,[],[],[]
0.0,0,14,0,0,0,[],[],[]
0.4444444444444444,4,9,0,0,1,[],[],"[('kleins', 'climes')]"
1.1764705882352942,20,17,0,4,2,[],"['v', 'c', 'eight', 'three']","[('kleins', 'clients'), ('six', 'vcatrsix')]"
0.0,0,12,0,0,0,[],[],[]
0.0,0,15,0,0,0,[],[],[]
0.0,0,25,0,0,0,[],[],[]
0.0,0,21,0,0,0,[],[],[]
0.21428571428571427,3,14,0,1,0,[],['electroplating'],[]
0.0,0,23,0,0,0,[],[],[]
1.1538461538461537,15,13,1,0,3,['sixty'],[],"[('nineteen', 'sixty'), ('sixtytwo', 'two'), ('sixtythree', 'three')]"
0.3181818181818182,7,22,1,0,1,['fortyfive'],[],"[('fortyfiveminute', 'minute')]"
0.0,0,17,0,0,0,[],[],[]
0.3333333333333333,7,21,0,1,1,[],['every'],"[('one', 'everyone')]"
0.0,0,17,0,0,0,[],[],[]
0.0,0,12,0,0,0,[],[],[]
0.0,0,14,0,0,0,[],[],[]
0.2857142857142857,4,14,0,0,1,[],[],"[('onus', 'honest')]"
0.0,0,11,0,0,0,[],[],[]
0.0,0,11,0,0,0,[],[],[]
2.3333333333333335,7,3,1,0,1,['there'],[],"[('therefore', 'four')]"
0.0,0,19,0,0,0,[],[],[]
0.0,0,18,0,0,0,[],[],[]
0.3076923076923077,4,13,0,0,1,[],[],"[('misess', 'mrs')]"
0.0,0,24,0,0,0,[],[],[]
0.4444444444444444,8,18,0,0,2,[],[],"[('misess', 'mrs'), ('reid', 'reed')]"
0.25,4,16,0,0,1,[],[],"[('as', 'is')]"
0.3888888888888889,7,18,0,1,1,[],['the'],"[('fourth', 'iv')]"
0.0,0,25,0,0,0,[],[],[]
0.0,0,23,0,0,0,[],[],[]
0.28,7,25,1,0,1,['sixty'],[],"[('sixtythree', 'three')]"
0.0,0,4,0,0,0,[],[],[]
0.0,0,15,0,0,0,[],[],[]
0.0,0,10,0,0,0,[],[],[]
0.0,0,27,0,0,0,[],[],[]
0.0,0,7,0,0,0,[],[],[]
0.0,0,13,0,0,0,[],[],[]
0.0,0,24,0,0,0,[],[],[]
0.0,0,21,0,0,0,[],[],[]
0.0,0,22,0,0,0,[],[],[]
0.0,0,20,0,0,0,[],[],[]
0.0,0,12,0,0,0,[],[],[]
0.0,0,24,0,0,0,[],[],[]
0.15789473684210525,3,19,0,1,0,[],['motorcade'],[]
0.0,0,18,0,0,0,[],[],[]
1.1666666666666667,7,6,0,1,1,[],['misess'],"[('randle', 'randall')]"
0.0,0,19,0,0,0,[],[],[]
0.0,0,11,0,0,0,[],[],[]
0.0,0,29,0,0,0,[],[],[]
0.0,0,24,0,0,0,[],[],[]
0.26666666666666666,4,15,0,0,1,[],[],"[('lad', 'land')]"
0.0,0,10,0,0,0,[],[],[]
