wer,ld,m,insertions,deletions,substitutions,inserted_words,deleted_words,substituted_words
3.5,7,2,0,1,1,[],['three'],"[('fours', 'threefours')]"
0.0,0,9,0,0,0,[],[],[]
3.142857142857143,22,7,0,2,4,[],"['we', 'gotta']","[('put', 'thats'), ('on', 'an'), ('a', 'auto'), ('mask', 'mess')]"
4.0,8,2,0,0,2,[],[],"[('pick', 'am'), ('seven', 'so')]"
0.875,7,8,0,1,1,[],['uh'],"[('a', 'af')]"
10.0,10,1,2,0,1,"['its', 'the']",[],"[('bullshit', 'porsche')]"
7.0,7,1,1,0,1,['thank'],[],"[('alright', 'you')]"
4.0,8,2,0,0,2,[],[],"[('one', 'thank'), ('five', 'you')]"
4.0,8,2,0,0,2,[],[],"[('six', 'fix'), ('six', 'fix')]"
1.5,3,2,1,0,0,['video'],[],[]
0.8,4,5,0,0,1,[],[],"[('bluff', 'blouse')]"
4.0,8,2,0,0,2,[],[],"[('lets', 'thats'), ('see', 'it')]"
0.0,0,17,0,0,0,[],[],[]
4.0,8,2,0,0,2,[],[],"[('one', 'more'), ('seven', 'so')]"
1.3333333333333333,4,3,0,0,1,[],[],"[('a', 'my')]"
0.0,0,2,0,0,0,[],[],[]
7.0,7,1,1,0,1,['thank'],[],"[('um', 'you')]"
4.0,4,1,0,0,1,[],[],"[('one', 'oh')]"
3.5,7,2,0,1,1,[],['one'],"[('nine', 'aticallymusic')]"
1.5,3,2,0,1,0,[],['oops'],[]
2.6666666666666665,8,3,0,0,2,[],[],"[('it', 'your'), ('ace', 'aase')]"
1.1111111111111112,10,9,2,0,1,"['its', 'my']",[],"[('so', 'name')]"
0.34375,11,32,1,0,2,['want'],[],"[('wanna', 'to'), ('do', 'be')]"
4.0,4,1,0,0,1,[],[],"[('challenge', 'johnny')]"
3.6666666666666665,11,3,0,1,2,[],['oh'],"[('my', 'believe'), ('god', 'us')]"
4.0,4,1,0,0,1,[],[],"[('two', 'no')]"
4.0,12,3,0,0,3,[],[],"[('playing', 'where'), ('with', 'were'), ('me', 'we')]"
3.5,7,2,0,1,1,[],['mm'],"[('hmm', 'god')]"
0.3181818181818182,7,22,0,1,1,[],['player'],"[('liar', 'line')]"
0.9090909090909091,10,11,1,1,1,['you'],['yeah'],"[('youre', 'are')]"
0.3,3,10,0,1,0,[],['definitely'],[]
0.0,0,2,0,0,0,[],[],[]
1.75,7,4,1,0,1,['than'],[],"[('with', 'this')]"
