,uid,logf0_rmse_recon,logf0_corr_recon,logf0_rmse_gt,logf0_corr_gt
0,9d58583c-20de-439d-b1cd-9c2265bdedd8,0.14840242387100877,-0.08294761627510823,0.5639931468415623,-0.782937169258621
1,4a506707-52ea-493e-98c4-f667e3222d44,0.1598300624989365,0.35633248018194574,0.2983038194350476,-0.23314498610136997
2,0b67f942-6ebf-403d-aff0-f4e5d62d3140,0.3195843258194199,0.5097106826492546,0.34111350662773604,0.38603905327003674
3,c237c6d5-f413-4e25-82e2-af7b408d390a,0.1949468814980852,0.3622117962640122,0.1778590413241396,0.3385159524452476
4,b8ed5cf9-b8ff-4da3-a764-a59020b85277,0.2730612493547966,-0.08443402073182603,0.4292919818435931,-0.033956326458003026
5,22a8a78a-caea-4aa2-be9c-4e02e0d88009,0.19431574044568625,0.08409745048438505,0.17123989366568076,0.2903350965764632
6,57397c2f-a7c2-4914-bc64-8da1ed2e7e6a,0.3091244274615486,0.19680625953841005,0.2902581283965405,0.11197743097107433
7,caefe8cf-5a8b-4225-ab40-97d1e061b982,0.08600665144241162,0.45943905629105275,0.07892387789768404,0.2567264175958563
8,7ed46c20-18e8-45fa-9045-6aad37e3df28,0.19870715564979624,-0.6170895571069996,0.5308870266003447,-0.7344549400617074
9,caef5df1-11aa-4241-96c4-38cb2b0837f2,0.4920363640587214,0.039222765568969,0.4416800282543254,0.42179546393648987
10,4bda3aea-be17-4f69-9c5e-93756a0a655a,0.12002385739795611,0.4027878951446549,0.08405055590106704,0.570227465782733
11,dcf5bfb3-74de-495f-a112-fbf496005651,0.1774369967879033,0.821868193246819,0.24134343325868313,0.12067180588436607
12,7e0b3ee2-a079-4cb7-b6aa-2a2a7ed22734,0.06059505306924823,0.9810897102987818,0.11579278419054745,0.876018244230897
13,8bdcc17f-123e-47dc-9f3e-7d1db12a3c0c,0.24041488602778327,-0.3822039415379675,0.28105534527193304,-0.30719514209491094
14,6f5f1b03-cfc3-4efa-a276-f7758ac0bef0,0.3133554738761183,0.0041679943251885666,0.3428222612920644,-0.07943093088835645
15,37547932-54fa-4d03-8ceb-35cfba38ded1,0.13891137766701545,0.59809142575352,0.1372898278657711,0.3856128754206057
16,81635abf-9aee-4603-be0f-8c2b37b2c8ee,0.49111555452553934,0.4765885948440771,0.34511974057843486,0.4219435051703305
17,05b04457-5e77-4848-a956-64f8242a7500,0.18115612582168425,0.5983737152543551,0.12267309372976062,0.735973688306896
18,8b9ffb98-2bc3-46ac-a167-802d4fbaf0db,0.11806151662373902,0.1581122108379902,0.08759819227358698,0.4268441425815997
19,95b3d10e-2269-4613-ad48-33ce1e7649af,0.31059040191319964,0.2392052809370979,0.3038961426502137,0.2438540407334853
20,a4033601-48cc-4b05-a81b-2475bfe5a64f,0.32412255726504047,0.1301563312450344,0.3083539669330482,-0.08995802485478842
