,uid,logf0_rmse_recon,logf0_corr_recon
0,9d58583c-20de-439d-b1cd-9c2265bdedd8,0.150142678831059,-0.050110359221866775
1,4a506707-52ea-493e-98c4-f667e3222d44,0.37314484051391594,-0.45132304665645134
2,0b67f942-6ebf-403d-aff0-f4e5d62d3140,0.3060373939459971,0.5250481110301556
3,c237c6d5-f413-4e25-82e2-af7b408d390a,0.18040236066045406,0.4481806508173513
4,b8ed5cf9-b8ff-4da3-a764-a59020b85277,0.18051464283273705,-0.4426777155095806
5,22a8a78a-caea-4aa2-be9c-4e02e0d88009,0.19231926236265548,0.14183843439941993
6,57397c2f-a7c2-4914-bc64-8da1ed2e7e6a,0.3077490191993988,0.17228718516313019
7,caefe8cf-5a8b-4225-ab40-97d1e061b982,0.08432550611365157,0.4807262057584585
8,7ed46c20-18e8-45fa-9045-6aad37e3df28,0.19962014956726654,-0.6370664057785465
9,caef5df1-11aa-4241-96c4-38cb2b0837f2,0.4967905166074272,0.042454163425224366
10,4bda3aea-be17-4f69-9c5e-93756a0a655a,0.22499608350471878,-0.1981904849380942
11,dcf5bfb3-74de-495f-a112-fbf496005651,0.20000068957493689,0.784685328671709
12,7e0b3ee2-a079-4cb7-b6aa-2a2a7ed22734,0.060098546990972175,0.981212209435807
13,8bdcc17f-123e-47dc-9f3e-7d1db12a3c0c,0.22242871337822362,-0.13599372220202854
14,6f5f1b03-cfc3-4efa-a276-f7758ac0bef0,0.29082166197599624,0.13510227252848658
15,37547932-54fa-4d03-8ceb-35cfba38ded1,0.14663747258583296,0.5864391955095409
16,81635abf-9aee-4603-be0f-8c2b37b2c8ee,0.49789583886536737,0.4383466547908319
17,05b04457-5e77-4848-a956-64f8242a7500,0.17302387772328104,0.6382840140258684
18,8b9ffb98-2bc3-46ac-a167-802d4fbaf0db,0.10239251265835371,0.35140913961389203
19,95b3d10e-2269-4613-ad48-33ce1e7649af,0.21262305272351076,0.5418175821615652
20,a4033601-48cc-4b05-a81b-2475bfe5a64f,0.2784215912025381,0.2673892272888457
21,c77bdc32-6065-4da9-aada-80fe7697ff5d,0.06411028135578688,0.8664334879047899
22,ee438517-6423-4925-b395-2b2b94c88754,0.0811564606770219,0.10539053549385034
23,d162319f-ae9b-4812-8eb1-e1b15971466b,0.24527428969562992,0.9204178129482304
24,a1504c6b-2048-4ecd-8fad-e992a133d708,0.22936520396647317,0.27081129535906706
25,debfbd96-d973-4102-92c0-0144bd650604,0.11819223185972642,0.2646009191697372
26,18193d98-a5fd-4abb-ab1b-47e0ad4257c6,0.07539939982466463,0.7643183254439656
27,9df79205-7eb3-49b3-94d2-69b474e5482a,0.23085707420238066,-0.47052249752357356
28,a5497f4c-7a63-4f95-9b3d-4e0332052561,0.07019639583979242,0.9600624849061993
29,0fc4a693-2ba5-419b-83cc-51d5e70b75b9,0.8645526863707783,0.6416539467568353
30,0e30b577-3c5a-43c8-ba81-100a6a0d6308,0.1919735138255093,0.45543132073899023
31,8a34b2eb-8e22-4717-8c47-8e5e5eb59a37,0.46861451613254274,-0.1942150985390215
32,c0cc5433-5dcd-48f9-ad50-7019a9bcbc00,0.21727349108981017,0.19080611465317482
33,de8ffe15-1e09-41b2-b502-e8fd7e100497,0.18253956444080738,0.8615563140253383
34,4e02a38a-d438-41fb-9126-75e89e857881,0.34015568711129457,0.46549023459680705
35,2b3251c5-d257-4799-9b99-332469f745d2,0.407695559125102,-0.46115214718689906
36,33799903-48a0-4355-9086-52b5ffedf7d8,0.07969603770853438,0.7756566158695141
37,a8a39ee2-c7f7-4cb6-a7dd-4fa47ce19322,0.19158199718769717,-0.12379561047068581
38,8e408cbc-7474-4c30-8599-d0c7a34d3865,0.7147959865678934,0.1742075750115148
