,uid,MCD_recon,MCD_gt
132,LJ025-0169,5.413881,7.26282
133,LJ022-0129,5.347547,6.798106
134,LJ023-0141,5.233983,6.5651917
135,LJ017-0234,4.6221485,6.348092
136,LJ026-0121,5.746537,7.0939317
137,LJ032-0234,5.3382926,6.991881
138,LJ045-0250,4.5411386,6.314025
139,LJ026-0166,5.654701,7.0988355
140,LJ031-0218,5.1600924,6.894529
141,LJ005-0144,5.628817,7.086132
142,LJ014-0196,5.4270854,6.868844
143,LJ017-0086,5.219321,6.67508
144,LJ013-0145,5.931728,7.3242164
145,LJ014-0227,5.033362,6.4500246
146,LJ021-0020,5.1367254,6.965218
147,LJ013-0158,5.287421,7.1944013
148,LJ014-0225,7.1711845,8.053198
149,LJ032-0047,4.673705,6.416672
150,LJ032-0051,5.0172906,6.7473326
151,LJ019-0155,5.242885,7.082325
152,LJ020-0105,5.495167,6.936128
153,LJ009-0104,5.5092688,6.945674
154,LJ004-0149,5.5411053,6.7706933
155,LJ018-0103,5.5340424,10.030052
156,LJ001-0017,6.363369,7.2697887
157,LJ042-0143,5.19582,7.18028
158,LJ031-0204,5.276896,6.9359574
159,LJ028-0017,5.5366044,6.8901696
160,LJ017-0242,8.697589,9.439435
161,LJ033-0099,4.7926135,6.4727235
162,LJ005-0133,5.5992393,7.171215
163,LJ005-0160,5.372863,7.334808
164,LJ004-0032,5.768169,7.369161
165,LJ047-0210,4.878038,6.9379926
166,LJ027-0162,5.1732745,6.3548775
167,LJ023-0112,4.5046,6.04833
168,LJ037-0218,5.3136244,6.9906807
169,LJ046-0002,5.3207235,6.659068
170,LJ017-0175,5.157078,6.623973
171,LJ019-0183,5.5821657,6.5301185
172,LJ035-0160,5.456076,6.9312963
173,LJ047-0089,5.195116,6.78951
174,LJ005-0250,5.6178927,7.272949
175,LJ030-0175,5.213713,6.418905
176,LJ046-0228,5.72832,7.0159
177,LJ039-0146,5.669763,7.015486
178,LJ016-0398,4.4075437,8.06312
179,LJ009-0141,5.22958,7.1297054
180,LJ022-0165,5.0144277,6.9966636
181,LJ033-0144,6.8367076,7.54375
182,LJ031-0094,4.94919,7.123199
183,LJ019-0395,4.9644046,6.676605
184,LJ025-0151,5.3933253,7.1801133
185,LJ004-0164,5.49338,6.957777
186,LJ028-0293,5.4412346,7.0721908
187,LJ016-0266,4.983819,6.713317
188,LJ044-0148,4.7424498,6.923226
189,LJ004-0171,5.3784976,7.1400647
190,LJ029-0097,5.0669303,9.050457
191,LJ010-0211,5.444226,6.7319984
192,LJ033-0129,8.592372,13.246643
193,LJ035-0146,5.5944815,7.4330244
194,LJ003-0266,4.8281655,6.732422
195,LJ019-0203,5.9061885,6.9194846
196,LJ002-0218,5.59173,6.60024
